,ref,prd
27,['17_Part 7.88.(1)'],"['17_Part 7.88.(1)', '17_Part 7.90.', '10_2.3.14', '7_2.3.1.Guidance.3.', '13_APP7.A7.1.1.Guidance.3.', '11_9.3.8.Guidance.2.', '6_PART 5.13.2.1.Guidance.3', '37_4.12.d.', '5_9.3', '14_Part 5.Chapter 1.23.']"
28,['1_4.5.1'],"['1_9.1.1.(4)', '1_2.Guidance.7.', '1_8.3.2.Guidance on CDD.6.', '1_4.5.1', '27_2.5.1', '1_9.1.1.(3)', '27_6.6.9', '1_4.5.1.Guidance', '40_SECTION IV.C.', '11_5.2.7']"
29,['7_8.10.14.Guidance.1.'],"['7_3.3.42.(3).Guidance.5.', '7_8.10.14.Guidance.1.', '7_8.10.14.(1)', '7_3.3.42.(3).Guidance.4.', '7_APP1.A1.2.Guidance.1.', '7_3.3.42.(3).Guidance.3.', '7_8.10.14.(2)', '7_APP1.A1.2.Guidance.2.', '7_APP1.A1.2.Guidance.6.', '7_3.3.42.(3).Guidance.6.']"
30,['3_5.13.4'],"['3_5.13.3', '3_19.2.9', '3_19.15.5.(2)', '3_5.13.1', '3_5.13.5', '3_5.6.2', '3_19.2.10', '7_8.7.4', '3_5.12.1', '3_19.15.5.(6)']"
31,['19_65)'],"['21_55)', '19_65)', '34_66)', '21_43)', '28_175)', '22_9.(3)', '19_60)', '21_47)', '13_6.7.1.Guidance', '21_40)']"
32,['27_3.2.20'],"['27_3.2.20', '27_10.2.1', '27_2.5.3', '27_2.5.2', '27_2.5.1', '27_8.5.8', '10_2.5.2.Guidance', '7_8.8.2.(2)', '13_10.2.Guidance.4.', '13_9.2.1.Guidance.2.']"
33,"['30_3)', '30_9)']","['30_85)', '30_55)', '30_9)', '30_72)', '11_11.2.1', '30_35)', '30_67)', '30_18)', '30_74)', '30_69)']"
34,['11_APP 4.53.'],"['11_APP 4.53.', '28_185)', '11_APP 4.54.', '11_9.7.4.(4).2.', '3_9.9.5.(c)', '11_APP 4.57.', '3_9.2.9', '28_188)', '30_71)', '28_113)']"
35,['17_Part 6.Chapter 1.60.(1)'],"['17_Part 6.Chapter 1.60.(1)', '11_1.1.3.Guidance.8.', '11_4.1.1.Guidance.3.', '33_16)', '17_Part 21.246.(1)', '11_4.3.Guidance', '14_Part 6.Chapter 5.71.(1)', '17_Part 6.Chapter 2.72.(3)', '33_33)', '14_Part 6.Chapter 4.65.(2)']"
36,"['1_4.3.1', '28_10)', '1_7.2.4', '1_4.5.4']","['27_2.5.1', '27_3.2.22', '1_9.2.2.Guidance.7.', '6_PART 5.12.3.10.Guidance.1', '19_159)', '24_2.2', '13_APP5.A5.2.2', '12_APP2.A2.5.Guidance.9.', '13_APP6.A6.8.13', '13_3.19.2.Guidance']"
37,"['1_8.1.2.(1)', '1_6.1.2']","['1_6.1.2', '1_5.1.1.Guidance.1.', '1_6.2.1', '1_13.3.2.Guidance.3.', '1_5.', '1_15.2.1.(1)', '1_1.3.1', '1_8.2.2.(1)', '1_4.3.1', '1_4.1.1.(4)']"
38,['12_APP2.A2.12.Guidance.1.'],"['10_2.6.2', '12_2.2.1', '27_9.2', '13_3.2.4.Guidance.3.', '7_3.3.33.(2).Guidance.2.', '12_APP2.A2.2.Guidance.1.', '12_APP2.A2.12.Guidance.2.', '2_2.4.1.(1)', '12_9.3.4', '12_APP2.A2.3.Guidance.1.']"
39,['10_3.3.7A'],"['10_3.3.7A', '11_3.9.1.Guidance', '10_3.9.1', '11_3.3.Guidance.2.', '11_4.1.1.Guidance.2.', '19_135)', '11_3.3.5', '10_3.3.11', '11_1.2.Guidance.3.', '10_3.3.14']"
40,['13_3.10.4.Guidance'],"['13_3.10.4.Guidance', '13_3.19.6.(2)', '13_3.10.4', '13_3.19.7', '11_10.2.7', '36_A.4.', '13_3.10.7', '7_6.6.1', '11_10.1.5.Guidance.1.', '11_10.1.7.(2)']"
41,['1_6.2.1.Guidance.1.'],"['1_6.1.2', '1_6.2.1.Guidance.2.', '1_6.2.1.Guidance.1.', '2_2.2.6.(2)', '31_47)', '1_8.3.2.Guidance on CDD.9.', '13_6.4.1.Guidance.3.', '3_16.4.1', '12_3.6.1.Guidance.1.', '13_7.4.1.Guidance.3.']"
42,"['13_APP11.A11.1.Guidance.11.', '13_APP11.A11.3.Guidance.11.']","['13_APP11.A11.1.Guidance.3.', '13_APP11.A11.1.Guidance.7.', '13_APP11.A11.3.Guidance.11.', '13_APP11.A11.1.Guidance.11.', '13_APP11.A11.2.Guidance.2.', '13_10.2.Guidance.2.', '13_APP11.A11.1.Guidance.8.', '13_10.2.Guidance.4.', '13_APP11.A11.3.Guidance.3.', '13_APP11.A11.1.Guidance.5.']"
43,"['19_52)', '19_53)']","['19_48)', '19_53)', '19_106)', '19_107)', '19_52)', '21_60)', '19_117)', '19_77)', '19_50)', '12_APP2.A2.3.Guidance.9.']"
44,['1_10.4.1'],"['1_10.4.1', '1_6.1.2', '1_4.1.1.(4)', '11_APP 4.48.', '1_6.2.1', '1_4.1.1.(2)', '7_5.3.8', '12_APP2.A2.7.Guidance.2.', '1_1.3.1', '1_15.2.1.(1)']"
45,['33_71)'],"['33_68)', '33_71)', '33_4)', '33_63)', '33_70)', '33_118)', '33_72)', '33_50)', '33_67)', '33_65)']"
46,['17_Schedule 2.11.(3)'],"['17_Schedule 2.11.(3)', '19_32)', '34_56)', '19_45)', '19_34)', '1_8.3.5.(3)', '12_APP2.A2.13.Guidance.3.', '40_SECTION VIII.E.6.', '30_135)', '11_8.1.2.(3)']"
47,['3_3.4.2.(e)'],"['3_3.4.2.(e)', '3_3.4.2.(b)', '37_4.8', '3_14.10.1', '3_3.7.1', '3_15.8.1', '3_23.5.1.Guidance.2.', '6_PART 4.10.1.6', '9_5.2.2', '3_12.1.2.(a)']"
48,['1_8.5.1.(1)'],"['1_5.1.1.Guidance.4.', '1_7.Guidance.1.', '1_8.5.1.(1)', '1_7.1.3.Guidance on the customer risk assessment.2.', '1_8.6.1', '1_4.5.1.Guidance', '1_8.6.2.Guidance.5.', '1_7.Guidance.4.', '1_7.Guidance.2.', '36_D.4.7.']"
49,['2_6.9.2'],"['2_6.9.2', '2_6.9.10', '11_9.2.10.Guidance.1.', '13_APP4.A4.3.8', '13_APP7.Guidance.1.', '11_1.2.Guidance.8.', '9_5.4.7.(d)', '13_APP4.A4.3.5.(1)', '13_7.3.1.Guidance.3.', '13_1.1.1.Guidance.6.']"
50,"['28_192)', '28_193)']","['28_29)', '28_185)', '28_25)', '28_54)', '28_52)', '28_191)', '28_28)', '28_43)', '28_188)', '28_73)']"
51,['12_2.3.1'],"['12_APP2.A2.9.Guidance.2.', '21_36)', '12_2.3.1', '13_6.3.2.Guidance.1.', '23_1.2.2', '13_APP6.A6.9.1.Guidance.3.', '13_6.2.2.Governing Body responsibilities.2.', '12_APP2.A2.1.Guidance.3.', '12_2.5.4', '1_6.1.1']"
52,"['30_45)', '30_46)']","['30_69)', '11_11.8.3', '30_43)', '30_88)', '30_72)', '11_11.5.1', '30_91)', '30_74)', '11_11.8.5', '11_11.9.4']"
53,"['33_113)', '19_46)', '35_5.3']","['19_46)', '33_113)', '3_17.4.1', '3_22.6.1', '35_5.3', '27_11.1.1', '27_6.1.2', '28_117)', '15_Part 1.1.(1)', '40_1.']"
54,['19_170)'],"['19_170)', '19_169)', '19_168)', '19_166).e)', '33_73)', '19_134)', '19_133)', '19_146)', '19_176)', '19_108)']"
55,['1_7.1.1.(3)'],"['1_8.3.1.(3)', '1_7.1.1.(3)', '1_8.3.1.(2)', '40_SECTION VII.C.', '40_SECTION VIII.E.1.', '1_10.3.2.Guidance.4.', '3_7.7.2', '11_9.3.16', '1_10.3.2.(3)', '40_SECTION VIII.C.8.']"
56,['13_APP4.A4.1.Guidance.12.'],"['13_APP4.A4.1.Guidance.12.', '13_APP4.A4.1.Guidance.24.', '13_4.3.1.Guidance.4.', '13_4.15.7.Guidance.4.', '12_APP2.A2.11.Guidance.2.', '9_5.4.14.Guidance.(ii)', '12_APP4.A4.8.Guidance', '13_APP4.A4.1.Guidance.14.', '12_APP6.A6.8.Guidance', '12_APP8.A8.8.Guidance']"
57,"['3_17.7.6', '3_17.8.1']","['19_102)', '33_9)', '19_58)', '19_78)', '19_77)', '19_33)', '19_45)', '19_76)', '19_94)', '19_104)']"
58,['34_33)'],"['34_33)', '34_40)', '34_42)', '34_34)', '34_46)', '34_38)', '34_65)', '34_39)', '34_32)', '34_11)']"
59,"['13_5.2.1.(2)', '13_5.11.4.Guidance.3.']","['13_APP6.A6.9.4.(1)', '13_7.4.1.Guidance.4.', '13_APP6.A6.9.1.Guidance.5.', '13_APP6.A6.9.1.Guidance.4.', '13_7.4.2.(2)', '13_3.2.4.Guidance.2.', '13_APP6.A6.9.1.Guidance.2.', '13_9.2.2.(2)', '13_5.11.4.Guidance.1.', '13_APP4.A4.1.Guidance.44.']"
60,['14_Part 6.Chapter 2.55.(13)'],"['14_Part 6.Chapter 2.55.(13)', '14_Part 6.Chapter 2.55.(11)', '14_Part 6.Chapter 2.55.(12)', '14_Part 6.Chapter 2.55.(14)', '14_Part 6.Chapter 2.55.(9)', '14_Part 6.Chapter 2.55.(3)', '14_Part 6.Chapter 2.55.(2)', '14_Part 6.Chapter 2.55.(15)', '14_Part 6.Chapter 2.55.(10)', '14_Part 6.Chapter 2.55.(1)']"
61,['12_APP2.A2.15.Guidance.5.'],"['12_APP2.A2.15.Guidance.5.', '20_3.1.', '14_Part 5.Chapter 1.23.(3)', '35_4.4', '1_9.3.2.(1)', '14_Part 1.1.', '19_168)', '19_45)', '34_98)', '31_96)']"
62,['35_2.2'],"['35_2.2', '35_2.1', '24_3.23', '33_135)', '18_2.3', '35_2.3', '13_APP4.A4.1.Guidance.71.', '21_APPENDIX.Appendix C:.67)', '37_2.4', '13_APP4.A4.11.4.Guidance.1.']"
63,"['30_28)', '30_31)']","['30_26)', '30_29)', '30_30)', '30_28)', '30_56)', '30_24)', '30_55)', '31_27)', '31_31)', '31_30)']"
64,['11_9.6.10'],"['11_9.6.8', '27_6.1.4', '28_53)', '28_27)', '1_11.2.1.(5)', '28_35)', '1_3.1.1', '11_9.6.1', '11_9.6.7', '28_185)']"
65,"['13_6.11.2.(2)', '13_9.2.10.(2)']","['13_APP6.A6.9.1.Guidance.19.', '13_9.2.10.(2)', '30_68)', '13_9.2.10.(1)', '14_Schedule.Part 1', '13_9.2.1.Guidance.2.', '12_5.3.1.Guidance', '30_135)', '14_Schedule.Part 3', '14_Part 6.Chapter 2.49.(7)']"
66,['7_6.6.7'],"['7_6.6.7', '19_151)', '19_149)', '19_105)', '7_6.6.6', '35_3.5', '3_16.3.1', '3_15.2.2', '19_17)', '27_2.6.2']"
67,"['1_2.Guidance.3.', '1_2.Guidance.5.']","['1_2.Guidance.3.', '1_12.3.1', '1_4.5.7', '1_8.1.1.Guidance.1.', '1_8.3.2.Guidance on CDD.1.', '1_11.1.1.Guidance.6.', '11_APP 7.A7.2', '1_8.3.2.Guidance on CDD.8.', '23_4.2', '17_Schedule 1.Part 2.Chapter 14.67.(6)']"
68,['19_20)'],"['19_20)', '34_21)', '19_21)', '4_3.17.2.Guidance.1.', '19_185)', '19_183)', '19_19)', '34_114)', '19_98)', '22_1.(8)']"
69,"['19_79)', '19_80)']","['19_80)', '19_79)', '19_50)', '19_81)', '19_93)', '19_48)', '19_18)', '19_160)', '19_106)', '27_7.15.10']"
70,"['13_4.14.3', '13_6.Introduction.Guidance.2.']","['13_4.14.3', '13_4.14.36', '13_4.14.6', '13_4.14.4', '13_4.14.39', '13_4.14.2', '13_4.14.69.Guidance', '13_4.14.5.Guidance.1.', '13_4.14.7', '13_APP4.A4.10.2.Guidance']"
71,['19_65)'],"['19_65)', '3_17.5', '19_125)', '19_140)', '19_48)', '33_13)', '19_38)', '19_85)', '19_79)', '19_59)']"
72,['1_11.1.1.Guidance.1.'],"['1_11.1.1.Guidance.5.', '1_11.1.1.Guidance.2.', '1_11.1.1.Guidance.1.', '34_64)', '34_65)', '1_12.4.1', '34_66)', '1_12.3.1', '1_11.2.1.Guidance.7.', '13_3.13.5']"
73,['13_APP7.A7.2.2'],"['13_APP7.A7.2.1', '13_APP7.A7.2.2', '13_APP7.A7.3.4.Guidance.9.', '13_APP7.A7.3.4', '13_APP7.A7.3.1', '13_6.2.2.Governing Body responsibilities.2.', '13_APP7.A7.1.1.(3)', '13_APP7.A7.1.1.(1)', '13_APP7.A7.3.4.Guidance.10.', '10_4.2.1']"
74,['13_APP3.A3.2.Guidance.2.'],"['13_APP3.A3.2.Guidance.2.', '13_1.3.1', '13_3.6A.1', '13_1.3.4', '13_1.3.2', '13_3.6A.8', '13_3.20.1.Guidance.1.', '13_1.3.5', '7_6.6.4', '13_3.16.3']"
75,['11_4.15.10'],"['11_4.15.10', '11_4.15.9', '11_4.15.7', '11_4.15.13', '11_4.15.12', '11_4.15.14', '11_4.15.8', '39_5.3', '39_5.1', '11_4.15.11']"
76,['12_APP2.A2.14.Guidance.4.'],"['12_APP2.A2.14.Guidance.4.', '12_4.6.1.Guidance', '12_APP2.A2.14.Guidance.1.', '12_APP4.A4.4.1', '12_APP2.A2.14.Guidance.6.', '12_APP4.A4.4.2', '12_APP9.A9.1.1.Guidance.2.', '12_APP2.A2.7.Guidance.2.', '13_APP4.A4.1.Guidance.67.', '12_APP2.A2.14.Guidance.2.']"
77,"['27_2.5.11', '27_5.3.1']","['34_60)', '19_43)', '33_111)', '27_2.5.11', '7_5.3.8', '21_30)', '27_5.3.1', '33_112)', '34_58)', '35_4.4']"
78,"['13_APP11.A11.1.Guidance.11.', '6_PART 5.13A.2.1', '13_4.3.1.Guidance.3.']","['11_APP 4.45.', '1_6.2.1', '11_APP 4.48.', '10_2.6.1', '12_8.1.2.(3)', '13_APP4.A4.1.Guidance.59.', '1_10.4.1', '27_3.2.15', '1_6.1.2', '12_8.2.1.Guidance.1.']"
79,['27_2.5.11'],"['27_2.5.11', '7_5.5.1.Guidance.4.', '10_2.3.2', '7_5.3.2', '7_5.3.6', '11_APP 4.38.', '13_9.2.2.(2)', '19_106)', '34_98)', '7_5.6.14']"
80,['1_2.Guidance.8.'],"['1_2.Guidance.8.', '1_8.1.2.Guidance.1.', '1_8.8.1.(1)', '1_7.Guidance.1.', '1_8.6.1', '1_8.1.2.(2)', '1_8.3.1.(1)', '1_9.1.2.Guidance.3.', '1_8.8.2', '1_8.6.2.Guidance.3.']"
81,['3_22.4.3'],"['3_22.4.3', '3_22.4.5', '34_42)', '34_38)', '34_65)', '34_46)', '3_20.13.3', '34_47)', '3_22.4.2', '3_19.22.1.(3)']"
82,['3_17.8.1'],"['3_17.8.1', '19_17)', '19_166).a)', '19_159)', '3_14.1.3.Guidance.5.', '19_165)', '19_143)', '13_APP3.A3.2.Guidance.4.', '19_105)', '33_67)']"
83,['3_19.5.3'],"['3_19.5.3', '3_19.3.1', '3_19.2.1', '3_19.5.2', '3_19.21.1.(2)', '3_19.6.2.(3)', '3_19.2.16', '3_19.2.4', '3_19.2.15', '3_19.17.2']"
84,"['9_3.7.5', '9_4.2.2']","['9_6.4.2', '9_3.7.5', '9_3.7.4.Guidance', '9_6.4.1.(c).Guidance.(ii)', '9_6.2.5', '9_3.5.6', '9_6.5.1', '9_3.4.1', '9_3.6.1', '9_7.2.1']"
85,['3_14.4.3'],"['3_14.4.3', '3_14.1.3.Guidance.1', '3_14.8.1A', '3_14.3.1', '3_16.3.1', '3_15.11A.2', '3_14.9.3', '3_14.13.5', '3_14.9.1', '3_14.4.2']"
86,['30_116)'],"['11_11.7.2', '30_55)', '30_26)', '30_116)', '11_11.6.1', '11_11.5.1', '30_56)', '11_11.7.3', '30_29)', '30_57)']"
87,"['34_32)', '34_35)']","['34_35)', '23_4.3.1', '13_APP7.A7.1.1.Guidance.3.', '19_36)', '7_2.3.1.Guidance.3.', '34_26)', '11_9.3.8.Guidance.2.', '1_14.2.3.Guidance.1.', '19_166).e)', '10_2.3.14']"
88,['3_15.5.2'],"['3_15.5.2.Guidance.1', '3_15.5.1', '3_15.7.2', '3_16.3.1', '3_15.5.2', '3_15.6.1', '19_152)', '19_160)', '3_15.9.1', '3_15.6.2']"
89,['19_76)'],"['19_76)', '19_45)', '19_169)', '19_18)', '19_44)', '19_166).e)', '19_94)', '1_8.3.2.Guidance on CDD.9.', '19_113)', '19_13)']"
90,['13_APP6.A6.1.Guidance.3.'],"['13_APP4.A4.1.Guidance.38.', '9_5.4.14.Guidance.(i)', '13_APP6.A6.9.4.(1)', '13_APP2.A2.1.11.(1)', '13_APP6.A6.9.1.Guidance.4.', '27_9.2', '27_7.5.2', '27_7.4.2', '13_4.11.7', '13_3.21.5']"
91,['9_2.4.2.Guidance.(ii)'],"['9_2.4.2.Guidance.(ii)', '9_2.4.1.Guidance.(ii)', '9_2.3.4', '9_1.1.1', '9_1.1.1.Guidance.(ii)', '9_2.4.2', '35_6.2', '9_2.4.2.Guidance.(iii)', '9_2.3.3.Guidance.(iii)', '9_3.4.1']"
92,['17_Schedule 1.Part 2.Chapter 18.77.(2)'],"['17_Schedule 1.Part 2.Chapter 18.77.(2)', '17_Schedule 1.Part 2.Chapter 18.82.(2)', '17_Schedule 1.Part 2.Chapter 18.74.(2)', '17_Schedule 1.Part 2.Chapter 3.29.(2)', '17_Schedule 1.Part 2.Chapter 18.78.(4)', '17_Schedule 2.4.(2)', '17_Schedule 1.Part 3 .90.(2)', '17_Schedule 1.Part 2.Chapter 1.5.(1)', '17_Schedule 2.32.(4)', '17_Schedule 1.Part 3 .88.(3)']"
93,['1_4.3.1'],"['1_4.3.1', '34_62)', '1_6.1.3.Guidance.6.', '33_111)', '1_13.1.1', '19_45)', '1_8.1.2.Guidance.3.', '1_7.1.3.Guidance on the customer risk assessment.2.', '13_APP6.A6.9.1.Guidance.19.', '1_8.4.1.Guidance.11.']"
94,['27_6.1.3'],"['27_6.1.3', '27_6.7.2', '26_8.7', '27_7.15.1', '6_PART 3.6.1.1.(3)', '28_24)', '33_42)', '11_4.1.1.Guidance.3.', '7_9.3.2', '28_64)']"
95,"['19_100)', '19_101)']","['19_128)', '33_52)', '19_38)', '19_100)', '19_94)', '19_131)', '33_1)', '13_7.4.1.Guidance.3.', '33_67)', '33_62)']"
96,"['1_6.1.2', '1_6.1.3.Guidance.2.']","['1_2.Guidance.8.', '1_7.Guidance.4.', '1_7.1.3.Guidance on the customer risk assessment.1.', '1_7.1.1.(3)', '19_45)', '1_7.Guidance.1.', '1_6.1.2', '34_62)', '13_10.2.Guidance.3.', '1_6.1.3.Guidance.7.']"
97,"['11_12.3.1', '11_12.3.2']","['11_12.3.2', '31_33)', '11_11.3.2', '30_32)', '14_Part 5.Chapter 4.37.(1)', '11_12.3.3', '31_30)', '31_31)', '31_9)', '19_113)']"
98,"['14_Part 6.Chapter 2.49.(1)', '14_Part 6.Chapter 2.51.(2)']","['14_Part 6.Chapter 2.51.(2)', '14_Part 6.Chapter 2.56.(2)', '14_Part 6.Chapter 2.54.(1)', '14_Part 6.Chapter 4.65.(3)', '13_APP6.A6.2.3', '14_Part 6.Chapter 2.51.(1)', '13_APP6.A6.2.13.(3)', '14_Part 6.Chapter 2.52.(3)', '13_APP6.A6.6.5.(3)', '14_Part 5.Chapter 2.30.(2)']"
99,['33_92)'],"['33_88)', '33_90)', '33_89)', '33_92)', '33_87)', '33_91)', '33_14)', '19_10)', '29_5.1', '29_5.2']"
100,"['1_4.3.1', '19_113)', '7_3.3.41.(2)', '7_3.3.41.(3).Guidance.7.', '33_114)', '7_3.3.41.(3).Guidance.9.']","['7_3.3.41.(3).Guidance.7.', '7_2.2.11', '11_APP 4.5.', '7_3.3.41.(3).Guidance.3.', '11_APP 4.3.', '7_3.3.41.(3).Guidance.10.', '7_3.3.42.(3).Guidance.3.', '7_3.3.41.(3).Guidance.4.', '7_3.2.1', '17_Part 6.Chapter 2.73.(1)']"
101,['11_APP 4.4.'],"['11_APP 4.4.', '11_9.2.10.Guidance.2.', '11_10.1.4.Guidance.2.', '11_9.2.10', '11_APP 4.2.', '11_APP 4.44.', '11_9.2.2.Guidance.3.', '11_APP 4.3.', '11_APP 2.A2.1.1', '11_APP 4.63.']"
102,"['1_4.3.1', '6_PART 6.18.1.3.(4)', '7_3.3.31.(3)', '6_APP 4.Guidance.Pricing_controls_by_the_Fund_Manager.15', '13_4.15.3']","['1_4.3.1', '1_9.3.2.(1)', '1_7.2.4', '1_10.2.2.Guidance.2.', '1_6.1.2', '1_4.1.1.(2)', '1_4.2.1.(2)', '1_8.4.1', '1_15.2.1.(1)', '7_2.3.1.Guidance.3.']"
