,ref,prd
31,['19_65)'],"['21_55)', '19_65)', '34_66)', '21_54)', '28_175)', '21_43)', '21_40)', '22_9.(3)', '33_102)', '21_39)']"
32,['27_3.2.20'],"['27_3.2.20', '27_10.2.1', '27_2.5.3', '27_2.5.2', '27_2.5.1', '7_3.3.42.(3)', '17_Schedule 1.Part 2.Chapter 1.14.', '17_Schedule 2.31.(1)', '1_7.1.3.(2)', '6_PART 5.16.1.1.(2)']"
33,"['30_3)', '30_9)']","['11_11.2.1', '30_85)', '30_55)', '30_9)', '30_16)', '30_18)', '30_35)', '11_11.2.4', '30_17)', '30_21)']"
34,['11_APP 4.53.'],"['11_APP 4.53.', '11_APP 4.54.', '11_APP 4.57.', '11_9.7.4.(4).2.', '37_4.9.c.', '30_71)', '3_9.9.5.(c)', '10_2.15.8. Guidance', '28_185)', '11_2.3.6.(1)']"
35,['17_Part 6.Chapter 1.60.(1)'],"['17_Part 6.Chapter 1.60.(1)', '11_4.1.1.Guidance.3.', '11_4.3.Guidance', '33_33)', '33_16)', '14_Part 6.Chapter 5.71.(1)', '14_Part 6.Chapter 2.55.(2)', '11_1.1.3.Guidance.8.', '33_22)', '17_Part 21.246.(1)']"
36,"['1_4.3.1', '28_10)', '1_7.2.4', '1_4.5.4']","['27_2.5.1', '1_9.2.2.Guidance.7.', '12_APP2.A2.5.Guidance.9.', '6_PART 5.12.3.10.Guidance.1', '24_2.2', '13_3.19.2.Guidance', '27_3.2.22', '13_APP5.A5.2.2', '13_APP6.A6.8.13', '19_159)']"
37,"['1_8.1.2.(1)', '1_6.1.2']","['1_6.1.2', '1_5.', '1_5.1.1.Guidance.1.', '1_13.3.2.Guidance.3.', '1_4.1.1.(4)', '1_13.2.1', '1_4.1.1.(3)', '1_4.1.1.(1)', '1_15.2.1.(1)', '1_1.3.1']"
38,['12_APP2.A2.12.Guidance.1.'],"['27_9.2', '10_2.6.2', '12_APP2.A2.2.Guidance.1.', '12_2.2.1', '2_2.4.1.(1)', '2_1.5', '12_APP2.A2.3.Guidance.1.', '7_3.3.33.(2).Guidance.2.', '13_3.2.4.Guidance.3.', '2_1.4']"
39,['10_3.3.7A'],"['10_3.3.7A', '11_3.9.1.Guidance', '10_3.11.3', '11_4.1.1.Guidance.2.', '10_3.3.10', '11_3.3.Guidance.2.', '19_135)', '10_3.8.3', '10_2.4.3', '17_Part 12.Chapter 1.119.(1)']"
40,['13_3.10.4.Guidance'],"['13_3.10.4.Guidance', '13_3.10.4', '11_10.2.7', '11_10.1.5.Guidance.1.', '13_3.19.6.(2)', '11_APP 4.1.', '11_APP 4.2.', '36_A.4.', '6_PART 5.16.3.8', '10_3.2.2']"
41,['1_6.2.1.Guidance.1.'],"['1_6.2.1.Guidance.1.', '1_6.1.2', '1_6.2.1.Guidance.2.', '13_6.4.1.Guidance.3.', '31_47)', '2_2.2.6.(2)', '13_6.12.2.Guidance.2.', '5_6.6.4', '3_6.3.1.(a)', '3_6.2.3']"
42,"['13_APP11.A11.1.Guidance.11.', '13_APP11.A11.3.Guidance.11.']","['13_APP11.A11.1.Guidance.7.', '13_APP11.A11.1.Guidance.3.', '13_APP11.A11.3.Guidance.11.', '13_APP11.A11.2.Guidance.2.', '13_10.2.Guidance.2.', '13_APP11.A11.1.Guidance.5.', '27_9.2', '13_APP11.A11.1.Guidance.11.', '13_APP11.A11.1.Guidance.6.', '13_APP11.A11.1.Guidance.10.']"
43,"['19_52)', '19_53)']","['19_48)', '19_53)', '19_106)', '19_52)', '19_107)', '19_77)', '21_60)', '19_117)', '19_83)', '19_55)']"
44,['1_10.4.1'],"['1_10.4.1', '1_4.1.1.(4)', '1_6.1.2', '1_4.1.1.(3)', '1_4.1.1.(1)', '1_1.3.1', '7_3.3.13.(1)', '1_15.2.1.(1)', '7_5.3.8', '1_4.1.1.(2)']"
45,['33_71)'],"['33_68)', '33_63)', '33_71)', '33_70)', '33_72)', '33_67)', '33_50)', '33_65)', '33_118)', '33_64)']"
46,['17_Schedule 2.11.(3)'],"['17_Schedule 2.11.(3)', '34_56)', '19_32)', '17_Part 1.Chapter 1.2.(1)', '19_34)', '1_8.3.5.(3)', '11_5.2.1.Guidance', '30_135)', '11_8.1.2.(3)', '11_1.2.Guidance.4.']"
47,['3_3.4.2.(e)'],"['3_3.4.2.(e)', '3_14.10.1', '3_3.4.2.(b)', '3_15.8.1', '3_3.4.2.(d)', '7_2.2.8', '6_PART 4.10.1.6', '3_14.7.1', '37_4.8', '3_23.5.1.Guidance.2.']"
48,['1_8.5.1.(1)'],"['1_7.Guidance.1.', '1_7.1.3.Guidance on the customer risk assessment.2.', '1_5.1.1.Guidance.4.', '1_4.5.1.Guidance', '1_7.Guidance.2.', '1_8.1.1.(4)', '1_7.Guidance.4.', '36_D.4.7.', '1_8.6.2', '1_2.Guidance.9.']"
49,['2_6.9.2'],"['11_9.2.10.Guidance.1.', '2_6.9.2', '2_6.9.10', '10_7.5.2', '13_APP7.Guidance.1.', '13_APP4.A4.3.5.(1)', '17_Schedule 1.Part 2.Chapter 18.79.(7)', '13_APP4.A4.12.15', '27_5.1.4', '27_3.5.2']"
50,"['28_192)', '28_193)']","['28_29)', '28_25)', '28_52)', '28_28)', '28_185)', '28_62)', '28_73)', '28_188)', '28_191)', '28_54)']"
51,['12_2.3.1'],"['21_36)', '13_APP6.A6.9.1.Guidance.3.', '12_APP2.A2.9.Guidance.2.', '12_APP2.A2.9', '12_2.3.1', '12_APP9.A9.5', '13_6.3.2.Guidance.1.', '13_7.4.1.(3)', '13_APP4.A4.1.Guidance.27.', '24_3.4']"
52,"['30_45)', '30_46)']","['30_43)', '30_69)', '30_74)', '30_88)', '30_91)', '30_72)', '11_11.8.3', '30_89)', '11_11.5.1', '11_11.2.4']"
53,"['33_113)', '19_46)', '35_5.3']","['19_46)', '33_113)', '35_5.3', '3_17.4.1', '3_22.6.1', '27_11.1.1', '27_6.1.2', '24_3.14', '28_117)', '15_Part 1.2.(2)']"
54,['19_170)'],"['19_170)', '19_169)', '19_168)', '19_134)', '1_9.1.2.Guidance.6.', '33_73)', '19_176)', '19_166).e)', '19_108)', '19_133)']"
55,['1_7.1.1.(3)'],"['1_8.3.1.(3)', '1_8.3.1.(2)', '1_7.1.1.(3)', '40_SECTION VII.C.', '11_9.3.16', '17_Schedule 1.Chapter 1.102.', '17_Schedule 2.26.', '1_8.4.1.Guidance.5.', '3_7.7.2', '40_SECTION VIII.E.1.']"
56,['13_APP4.A4.1.Guidance.12.'],"['13_APP4.A4.1.Guidance.12.', '13_4.15.7.Guidance.4.', '13_APP4.A4.1.Guidance.24.', '13_4.3.1.Guidance.4.', '13_APP4.A4.1.Guidance.14.', '9_5.4.14.Guidance.(ii)', '12_APP6.A6.8.Guidance', '13_APP4.A4.11.4', '13_APP4.A4.1.Guidance.17.', '12_APP8.A8.8.Guidance']"
57,"['3_17.7.6', '3_17.8.1']","['19_58)', '19_102)', '33_9)', '19_78)', '19_88)', '19_77)', '19_33)', '19_76)', '19_98)', '19_104)']"
58,['34_33)'],"['34_33)', '34_40)', '34_42)', '34_34)', '34_46)', '34_48)', '34_38)', '34_32)', '34_11)', '34_39)']"
59,"['13_5.2.1.(2)', '13_5.11.4.Guidance.3.']","['13_5.11.4.Guidance.1.', '13_3.2.4.Guidance.2.', '13_7.4.2.(2)', '13_APP6.A6.9.1.Guidance.4.', '13_5.11.2', '13_11.1.Guidance', '13_APP6.A6.1.Guidance.12.', '13_APP11.A11.3.Guidance.7.', '13_APP4.A4.1.Guidance.44.', '13_9.2.2.(2)']"
60,['14_Part 6.Chapter 2.55.(13)'],"['14_Part 6.Chapter 2.55.(13)', '14_Part 6.Chapter 2.55.(12)', '14_Part 6.Chapter 2.55.(11)', '14_Part 6.Chapter 2.55.(14)', '14_Part 6.Chapter 2.55.(9)', '14_Part 6.Chapter 2.55.(3)', '14_Part 6.Chapter 2.55.(15)', '14_Part 6.Chapter 2.55.(2)', '14_Part 6.Chapter 2.55.(10)', '14_Part 6.Chapter 2.55.(1)']"
61,['12_APP2.A2.15.Guidance.5.'],"['12_APP2.A2.15.Guidance.5.', '14_Part 5.Chapter 1.23.(3)', '19_125)', '34_98)', '20_3.1.', '7_3.3.19.(1).Guidance.2.', '34_67)', '19_168)', '33_108)', '11_5.2.3.(1)']"
62,['35_2.2'],"['35_2.2', '35_2.1', '24_3.23', '18_2.3', '37_2.4', '13_APP4.A4.11.4.Guidance.1.', '33_135)', '13_APP10.A10.2.15.Guidance.10.', '13_6.6.1', '13_APP4.A4.1.Guidance.71.']"
63,"['30_28)', '30_31)']","['30_29)', '30_26)', '30_30)', '30_28)', '31_31)', '31_27)', '31_30)', '30_24)', '30_25)', '30_55)']"
64,['11_9.6.10'],"['11_9.6.8', '1_11.2.1.(5)', '1_3.1.1', '11_9.6.1', '17_Part 2.Chapter 4.15A.(2)', '28_27)', '11_9.6.10', '27_6.1.4', '11_9.6.9', '11_9.6.3']"
65,"['13_6.11.2.(2)', '13_9.2.10.(2)']","['13_9.2.10.(1)', '30_68)', '13_APP6.A6.9.1.Guidance.19.', '13_9.2.10.(2)', '3_9.5.3', '6_PART 5.12.3.10.(2)', '1_8.3.6.Guidance on Politically Exposed Persons (PEPs) and corruption.4.', '14_Part 3.Chapter 1.7.(5)', '12_5.3.1.Guidance', '14_Part 3.Chapter 2.10.(6)']"
66,['7_6.6.7'],"['19_151)', '7_6.6.7', '19_149)', '19_105)', '3_15.2.2', '7_6.6.6', '3_17.8.3', '6_PART 4.10.1.7', '3_15.4.5', '3_15.12.1']"
67,"['1_2.Guidance.3.', '1_2.Guidance.5.']","['1_4.5.7', '1_2.Guidance.3.', '1_8.1.1.Guidance.1.', '23_4.2', '1_9.2.2.Guidance.2.', '1_12.3.1', '1_11.1.1.Guidance.6.', '1_8.3.2.Guidance on CDD.1.', '17_Schedule 1.Part 2.Chapter 14.67.(6)', '11_4.7.2.(2)']"
68,['19_20)'],"['4_3.17.2.Guidance.1.', '19_20)', '34_21)', '19_21)', '22_1.(8)', '19_179)', '19_98)', '19_19)', '4_10.', '17_Schedule 1.Part 2.Chapter 1.12.']"
69,"['19_79)', '19_80)']","['19_80)', '19_79)', '19_81)', '19_93)', '27_7.15.10', '19_48)', '19_7)', '19_91)', '19_50)', '19_160)']"
70,"['13_4.14.3', '13_6.Introduction.Guidance.2.']","['13_4.14.3', '13_4.14.69.Guidance', '13_4.14.39', '13_4.14.5', '13_4.14.4', '13_4.14.7', '13_4.14.2', '13_APP4.A4.10.2.Guidance', '13_4.14.5.Guidance.1.', '13_4.14.36']"
71,['19_65)'],"['19_65)', '19_125)', '19_140)', '33_13)', '19_79)', '19_48)', '13_APP10.A10.2.4.Guidance.3.', '3_17.5', '19_85)', '6_PART 5.13.3.15.(3)']"
72,['1_11.1.1.Guidance.1.'],"['1_11.1.1.Guidance.1.', '34_64)', '1_11.1.1.Guidance.5.', '1_11.1.1.Guidance.2.', '34_66)', '1_11.2.1.Guidance.7.', '34_65)', '6_PART 5.11.1.1.(2)', '11_11.2.2.Guidance', '1_9.1.1.(5)']"
73,['13_APP7.A7.2.2'],"['13_APP7.A7.3.4.Guidance.9.', '13_APP7.A7.3.4', '13_APP7.A7.2.1', '13_APP7.A7.2.2', '13_APP7.A7.3.1', '13_APP7.A7.3.4.Guidance.10.', '13_APP7.A7.1.1.(3)', '13_APP7.A7.3.4.Guidance.6.', '13_APP7.A7.1.1.(1)', '13_6.2.2.Guidance.1.']"
74,['13_APP3.A3.2.Guidance.2.'],"['13_APP3.A3.2.Guidance.2.', '13_3.20.1.Guidance.1.', '13_1.3.4', '13_3.6A.8', '13_3.6A.1', '13_1.3.1', '13_3.19.10.(2)', '13_3.6.2', '13_10.6.2', '13_APP3.A3.2.Guidance.6.']"
75,['11_4.15.10'],"['11_4.15.10', '11_4.15.9', '11_4.15.7', '11_4.15.14', '11_4.15.12', '11_4.15.11', '39_5.1', '11_4.15.13', '39_5.5', '39_5.4']"
76,['12_APP2.A2.14.Guidance.4.'],"['12_APP2.A2.14.Guidance.1.', '12_4.6.1.Guidance', '12_APP2.A2.14.Guidance.4.', '12_APP4.A4.4.1', '12_APP9.A9.1.1.Guidance.2.', '12_APP4.A4.4.2', '12_APP2.A2.14.Guidance.6.', '12_9', '12_4.5', '12_2.5']"
77,"['27_2.5.11', '27_5.3.1']","['7_5.3.8', '34_60)', '27_2.5.11', '38_3.2', '27_5.3.1', '34_58)', '19_43)', '33_112)', '21_30)', '1_2.Guidance.7.']"
78,"['13_APP11.A11.1.Guidance.11.', '6_PART 5.13A.2.1', '13_4.3.1.Guidance.3.']","['11_APP 4.45.', '12_8.1.2.(3)', '10_2.6.1', '7_3.3.13.(1)', '1_4.1.1.(4)', '13_6.8.1', '1_6.2.1', '1_10.4.1', '12_8.2.1.Guidance.1.', '13_6.7.1']"
79,['27_2.5.11'],"['27_2.5.11', '7_5.3.6', '7_5.6.14', '7_5.3.2', '11_APP 4.38.', '7_5.5.1.Guidance.4.', '7_5.5.1.(1)', '10_2.3.2', '34_98)', '19_106)']"
80,['1_2.Guidance.8.'],"['1_2.Guidance.8.', '1_7.Guidance.1.', '1_8.8.1.(1)', '1_8.1.2.Guidance.1.', '1_8.8.2', '1_9.1.2.Guidance.3.', '1_8.1.2.Guidance.2.', '1_7.1.3.Guidance on the customer risk assessment.2.', '1_8.6.2.Guidance.3.', '1_8.6.1']"
81,['3_22.4.3'],"['3_22.4.3', '3_22.4.5', '3_20.13.3', '3_19.22.1.(3)', '3_20.13.1', '34_47)', '34_42)', '34_38)', '3_19.22.1.(1)', '34_46)']"
82,['3_17.8.1'],"['3_17.8.1', '3_14.1.3.Guidance.5.', '13_APP3.A3.2.Guidance.4.', '3_2.2.4', '3_14.2.1', '3_14.4.1', '3_17.2.1', '3_14.2.3', '3_15.8.3.Guidance.1', '19_159)']"
83,['3_19.5.3'],"['3_19.5.3', '3_19.5.2', '3_19.2.15', '3_19.3.1', '3_19.2.2', '3_19.21.1.(2)', '3_19.2.1', '3_19.17.2', '3_19.2.4', '3_19.2.16']"
84,"['9_3.7.5', '9_4.2.2']","['9_6.4.2', '9_3.7.5', '9_6.2.5', '9_3.7.4.Guidance', '9_6.4.1.(c).Guidance.(ii)', '9_3.5.6', '9_3.6.1', '9_6.3', '9_6.5.1', '9_6.4.2.Guidance']"
85,['3_14.4.3'],"['3_14.4.3', '3_14.1.3.Guidance.1', '3_15.11A.2', '3_14.8.1A', '3_14.4.2', '3_14.3.1', '3_14.9.3', '3_14.4.6.Guidance.2.', '3_14.13.6', '3_14.13.6.Guidance.1.']"
86,['30_116)'],"['30_116)', '30_26)', '30_55)', '30_29)', '11_11.7.2', '11_11.7.5', '30_57)', '30_30)', '30_62)', '30_58)']"
87,"['34_32)', '34_35)']","['34_35)', '5_9.3', '13_APP7.A7.1.1.Guidance.3.', '14_Part 5.Chapter 1.23.', '11_9.3.8.Guidance.2.', '37_4.13.a.', '6_PART 5.13.2.1.Guidance.3', '23_4.3.1', '37_4.12.d.', '7_2.3.1.Guidance.3.']"
88,['3_15.5.2'],"['3_15.5.1', '3_15.5.2', '3_15.7.2', '3_15.6.2', '3_15.5.2.Guidance.1', '19_152)', '3_15.6.1', '19_160)', '3_15.4.2', '3_15.9.1']"
89,['19_76)'],"['19_76)', '19_47)', '19_44)', '19_115)', '19_45)', '33_13)', '19_13)', '19_169)', '19_3)', '1_8.3.2.Guidance on CDD.9.']"
90,['13_APP6.A6.1.Guidance.3.'],"['27_9.2', '12_APP9.A9.2.1', '9_5.4.14.Guidance.(i)', '13_3.21.1.Guidance.2.', '1_6.1.3.Guidance.3.', '13_4.11.7', '13_APP2.A2.1.11.(1)', '25_1.', '11_4.15.10', '3_20.14.1.Guidance.1']"
91,['9_2.4.2.Guidance.(ii)'],"['9_2.4.2.Guidance.(ii)', '9_2.4.1.Guidance.(ii)', '9_1.1.1.Guidance.(ii)', '9_2.3.4', '9_2.3.3.Guidance.(iii)', '9_1.1.1', '9_2.4.2.Guidance.(iii)', '9_3.3.1.Guidance.(c)', '9_2.4', '9_2.4.2']"
92,['17_Schedule 1.Part 2.Chapter 18.77.(2)'],"['17_Schedule 1.Part 2.Chapter 18.78.(4)', '17_Schedule 1.Part 3 .90.(2)', '17_Schedule 1.Part 2.Chapter 3.29.(2)', '17_Schedule 1.Part 3 .88.(3)', '17_Schedule 1.Part 2.Chapter 18.77.(2)', '17_Schedule 1.Part 2.Chapter 18.74.(2)', '17_Schedule 1.Part 2.Chapter 18.78.(5)', '17_Schedule 1.Part 2.Chapter 18.78.(6)', '17_Schedule 1.Part 2.Chapter 2.20.(1)', '17_Schedule 2.31.(3)']"
93,['1_4.3.1'],"['1_4.3.1', '1_8.1.2.Guidance.3.', '17_Part 15.188.(1)', '1_10.4.1', '1_7.Guidance.3.', '1_7.1.3.Guidance on the customer risk assessment.2.', '1_6.1.3.Guidance.6.', '10_2.9.2', '7_5.3.8', '1_8.4.1.Guidance.11.']"
94,['27_6.1.3'],"['27_6.1.3', '27_6.7.2', '11_4.1.1.Guidance.3.', '6_PART 3.6.1.4.Rejection_of_an_application.Guidance.1', '27_7.15.1', '26_8.7', '28_24)', '27_9.5.1', '7_4.3.1.Guidance2.', '27_6.5.9']"
95,"['19_100)', '19_101)']","['19_128)', '33_52)', '19_100)', '33_63)', '33_67)', '19_104)', '19_38)', '19_99)', '33_62)', '19_94)']"
96,"['1_6.1.2', '1_6.1.3.Guidance.2.']","['1_7.Guidance.4.', '1_7.1.3.Guidance on the customer risk assessment.1.', '1_2.Guidance.8.', '1_7.Guidance.1.', '13_APP11.A11.3.Guidance.7.', '1_6.1.3.Guidance.2.', '1_6.1.3.Guidance.7.', '10_6.3.3.Guidance.2.', '1_7.1.1.(3)', '1_7.Guidance.2.']"
97,"['11_12.3.1', '11_12.3.2']","['11_12.3.2', '31_33)', '11_11.3.2', '30_32)', '11_12.2.3', '14_Part 5.Chapter 4.37.(1)', '31_30)', '31_31)', '31_25)', '31_9)']"
98,"['14_Part 6.Chapter 2.49.(1)', '14_Part 6.Chapter 2.51.(2)']","['14_Part 6.Chapter 2.51.(2)', '14_Part 6.Chapter 2.56.(2)', '14_Part 6.Chapter 2.54.(1)', '14_Part 6.Chapter 2.54.', '14_Part 3.Chapter 4.17.(1)', '14_Part 6.Chapter 2.51.(1)', '14_Part 6.Chapter 4.65.(3)', '14_Part 6.Chapter 2.52.(3)', '14_Part 6.Chapter 4.66.(1)', '13_APP6.A6.2.3']"
99,['33_92)'],"['33_88)', '33_87)', '33_90)', '33_92)', '33_89)', '33_91)', '29_1.3', '33_93)', '33_96)', '28_27)']"
100,"['1_4.3.1', '19_113)', '7_3.3.41.(2)', '7_3.3.41.(3).Guidance.7.', '33_114)', '7_3.3.41.(3).Guidance.9.']","['7_3.3.41.(3).Guidance.7.', '7_2.2.11', '7_3.3.41.(3).Guidance.3.', '11_APP 4.5.', '11_APP 4.3.', '17_Part 6.Chapter 2.73.(1)', '7_3.3.41.(3).Guidance.10.', '7_3.3.42.(3).Guidance.3.', '7_3.3.41.(3).Guidance.4.', '11_9.2.2.Guidance.2.']"
101,['11_APP 4.4.'],"['11_APP 4.4.', '11_10.1.4.Guidance.2.', '11_9.2.10.Guidance.2.', '11_9.2.10.Guidance.1.', '11_APP 4.2.', '11_9.2.10.Guidance.3.', '11_9.2.2', '11_9.2.10', '11_APP 4.44.', '11_10.1.4.Guidance.1.']"
